peak_g_mag,std_g_mag,peak_hp8_vertical,peak_jerk_mag,max_elevated_dur,is_event,impact_timestamp_iso8601,impact_elapsed_sec,impact_source_sample_idx,source_folder,athlete_name
4.08947,0.7858607258937285,1.583437253964218,241.08160338773257,0.03,False,2026-06-25T20:31:43.947Z,2398.178,4019,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
17.43887,2.6337420035091066,12.175341145247772,1517.79658726919,0.04,True,2026-06-25T20:31:44.664Z,2398.895,4091,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.54082,1.0390844862643402,2.265850031291397,511.2775879007247,0.02,False,2026-06-24T18:27:32.715Z,2419.682,154,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.69721,1.361014759332714,3.743057879639841,430.1305170456986,0.025,False,2026-06-24T18:27:33.461Z,2420.428,229,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
4.30662,0.7895448737096507,1.731033539086973,278.23929866573485,0.0,False,2026-06-24T18:27:34.098Z,2421.065,293,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
8.1595,1.4556001305259723,3.201523208640059,703.12415747843,0.059,True,2026-06-24T18:27:35.949Z,2422.916,479,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.34474,1.0768263507630942,1.7838466948606213,375.20515575348907,0.038,False,2026-06-24T18:27:36.595Z,2423.562,544,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.35688,1.1407387745189737,3.640942615435797,391.7634215181976,0.02,False,2026-06-24T18:27:37.461Z,2424.428,631,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
13.55335,2.3057647037127675,3.960136151458873,1461.7216004718546,0.1,True,2026-06-24T18:27:40.148Z,2427.115,901,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.19846,1.4372910482644732,2.7885879744210644,15160.280340415917,0.021,False,2026-06-24T18:27:41.641Z,2428.608,1051,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
14.76993,2.2885034282225876,2.0886472075437723,1236.2089168930954,0.079,True,2026-06-24T18:27:44.109Z,2431.076,1299,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.34441,1.0101660781263977,2.4640370611888103,300.4118129651362,0.02,False,2026-06-24T18:27:45.417Z,2432.384,1431,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.9963,1.5717862686469144,3.7266767218329977,598.0367387962046,0.029,False,2026-06-24T18:42:49.982Z,3336.949,1650,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
25.09862,3.1052853192885244,12.79208981720494,2154.40285042663,0.069,True,2026-06-24T18:42:52.341Z,3339.308,1887,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.77745,1.2936942246024685,1.6711044895344305,581335.967750147,0.017,False,2026-06-24T18:42:54.520Z,3341.487,2106,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
18.11513,2.3045029357552775,4.184233339942067,8761436.975627914,0.099,True,2026-06-24T18:42:56.411Z,3343.378,2296,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
9.77104,1.5794750431832698,4.4256513721840935,693.3412896503423,0.03,True,2026-06-24T18:42:58.013Z,3344.98,2457,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
9.38312,1.4842623229986425,2.5981369400029144,734.2065683593412,0.07,False,2026-06-24T18:43:00.471Z,3347.438,2704,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
4.83517,0.9697063060921443,1.9626121071944176,327.8839676852163,0.07,False,2026-06-24T18:43:01.207Z,3348.174,2778,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.7967,1.0221170308960923,1.4485450554451935,543.7388757639093,0.01,False,2026-06-24T18:43:02.113Z,3349.08,2869,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.37037,1.0304433897433196,1.9412311438693932,496.8256069215837,0.016,False,2026-06-24T18:56:40.885Z,4167.852,2973,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.80131,1.3712937116310635,2.585919196611992,442.51575021348106,0.039,False,2026-06-24T18:56:41.955Z,4168.922,3081,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
20.73097,3.2328345545312014,17.907117312856787,3156.41383919461,0.07,True,2026-06-24T18:56:44.398Z,4171.365,3326,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.54976,1.2064543577180988,2.309289846594445,731.6108589447849,0.04,False,2026-06-24T18:56:45.084Z,4172.051,3395,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
8.43913,1.62563977334625,2.2958704129927376,807.6657537799903,0.007,True,2026-06-24T18:56:45.999Z,4172.966,3487,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.24198,1.5223670037520487,2.187312247565844,778.4414445165418,0.08,False,2026-06-24T18:56:48.487Z,4175.454,3737,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.90069,1.5161152448788044,3.0504325399767063,358.52340016378287,0.04,False,2026-06-24T18:56:49.930Z,4176.897,3882,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
11.5052,1.9857817914110911,5.947970572589359,1293.19930224033,0.06,False,2026-06-24T19:10:21.688Z,4988.655,3965,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
8.57188,1.9533555869237476,2.973369312832199,382.61848305913327,0.038,False,2026-06-24T19:10:23.279Z,4990.247,4125,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
24.59128,3.1054581065960987,8.792607517398261,1780.4636592261577,0.03,True,2026-06-24T19:10:25.817Z,4992.784,4380,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.69732,1.3269660375332866,3.4088862181183863,463.6141800084832,0.02,False,2026-06-24T19:10:26.424Z,4993.391,4441,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.81676,1.374080193485615,3.287570916484434,762.4913913575971,0.037,False,2026-06-24T19:19:54.463Z,5561.43,4564,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.80949,1.15939321986371,3.287570916484434,762.4913913575971,0.01,False,2026-06-24T19:19:54.971Z,5561.938,4615,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.23886,1.1116802764997293,2.4159990406146603,438.51124324082167,0.011,False,2026-06-24T19:19:55.618Z,5562.585,4680,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.32879,1.335736289228121,2.4159990406146603,447.2680203423755,0.059,False,2026-06-24T19:19:56.214Z,5563.181,4740,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.00649,0.9283749392926192,2.628251693536157,349.5430838645142,0.017,False,2026-06-24T19:19:56.862Z,5563.829,4805,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
9.82232,1.9464419525629295,2.692818306848364,802.2657976867766,0.07,True,2026-06-24T19:19:58.463Z,5565.43,4966,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
8.47781,1.4545022457564492,3.241594749159185,509.2051142683074,0.088,True,2026-06-24T19:20:02.800Z,5569.767,5402,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
4.64271,0.957109616456012,1.547357542097798,319.1729329517151,0.088,False,2026-06-24T19:20:03.350Z,5570.317,5457,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
9.00037,2.0096986511501105,3.0925790809894056,1664149.02103147,0.06,False,2026-06-24T19:20:04.325Z,5571.292,5554,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.82064,1.3812386295648906,0.9850392956421626,235.14032780023084,0.11,False,2026-06-24T19:20:05.330Z,5572.297,5656,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
15.18215,2.414061423018298,6.005789844178714,913.3874233396252,0.04,True,2026-06-24T19:20:06.773Z,5573.74,5801,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
4.92336,1.2042774968054952,2.2145754461131446,432.40054725797927,0.019,False,2026-06-24T19:20:07.878Z,5574.845,5912,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
9.7271,1.3042811346910843,2.896909392006051,674.5253520370754,0.03,False,2026-06-24T19:29:45.390Z,6152.357,5964,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.51755,1.3692072487349012,2.7790644396088853,661.9151623591954,0.02,False,2026-06-24T19:29:47.112Z,6154.079,6137,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
8.09824,1.2666690804841783,1.9663651876018056,427.691675287233,0.079,True,2026-06-24T19:29:49.282Z,6156.249,6355,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.40855,1.1301690125555524,2.676293419892866,405.2918316090271,0.03,False,2026-06-24T19:29:50.147Z,6157.114,6442,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
