peak_g_mag,std_g_mag,peak_sma150,peak_hp8_vertical,peak_rms150,peak_jerk_mag,max_elevated_dur,peak_hp8_planar,pitch_range,rot_x_range,is_event,impact_timestamp_iso8601,impact_elapsed_sec,impact_source_sample_idx,source_folder,athlete_name
8.5086,1.5698295378316314,3.836450666666667,4.485847974359939,3.6933201132052806,2172604.937626719,0.02,2.2734850023093007,0.9789500000000001,4.9622,False,2026-06-25T20:15:05.945Z,1400.176,2806,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.04327,0.9146067538005671,2.859398,2.257191118702899,2.3794948293408837,254.22095518859177,0.031,1.146018440170976,0.59473,6.4759,False,2026-06-25T20:31:33.347Z,2387.579,2955,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.04327,0.9096048732708827,3.263298,2.396852725866003,2.451533895307181,254.22095518859177,0.031,0.9292583046354136,1.1681599999999999,6.4759,False,2026-06-25T20:31:33.836Z,2388.067,3004,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.48209,0.9533017745569686,3.439928,2.3358883662273344,2.6355843435931496,380.9553319025737,0.03,2.5444342112792886,0.67802,8.64375,False,2026-06-25T20:31:35.778Z,2390.009,3199,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
13.53977,2.2067701431683338,7.041965,4.511041651822175,5.449014490422213,872.8678908769643,0.05,3.1732391663173307,1.14799,18.10762,True,2026-06-25T20:31:36.725Z,2390.956,3294,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
7.47347,1.5938780152343672,4.3161906666666665,2.742823387066476,3.825967842473816,730.9146544877863,0.031,2.4547564562657933,0.5244,9.74513,False,2026-06-25T20:31:37.711Z,2391.942,3393,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
12.5036,1.7961144395888875,6.845498666666667,5.876761858947693,5.684165155692318,1555.80282172292,0.04,3.187224994449243,1.42068,10.81299,True,2026-06-25T20:31:40.082Z,2394.313,3631,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
4.27328,0.9804374836702762,3.407980666666667,1.879653774512424,2.768762672795678,220.9766268771428,0.02,1.0034168000797776,0.5329900000000001,5.9020399999999995,False,2026-06-25T20:31:40.779Z,2395.01,3701,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.34132,1.1607988890805134,3.407980666666667,2.224325767368319,2.768762672795678,293.5499581757763,0.02,0.6978439222190748,0.53203,5.9020399999999995,False,2026-06-25T20:31:41.088Z,2395.319,3732,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
6.50537,1.2379760501274844,3.395084375,2.8916766218715915,2.9798172363554865,293.5499581757763,0.021,1.877694411702903,0.746,6.3883,False,2026-06-25T20:31:41.556Z,2395.788,3779,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
6.88471,1.2030884343024404,3.4564406666666665,3.488129315366302,3.0620762595271853,377.5934040605053,0.021,1.877694411702903,1.03055,5.60759,False,2026-06-25T20:31:42.134Z,2396.365,3837,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
4.08947,0.7858607258937285,3.51954,1.583437253964218,2.443342091580199,241.08160338773257,0.03,1.1481079147236883,0.53501,4.45211,False,2026-06-25T20:31:43.947Z,2398.178,4019,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
17.43887,2.6337420035091066,7.464709999999999,12.175341145247772,6.884702327644966,1517.79658726919,0.04,2.6334532296941973,0.70459,16.65359,True,2026-06-25T20:31:44.664Z,2398.895,4091,movement data/movement-18751D3E-97C3-4174-AA3A-F1445FEA7D7E,Jeffery Brown
5.54082,1.0390844862643402,3.5271773333333334,2.265850031291397,2.9170471115999024,511.2775879007247,0.02,2.4021315951225937,0.91893,5.943160000000001,False,2026-06-24T18:27:32.715Z,2419.682,154,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
7.69721,1.361014759332714,5.576813124999999,3.743057879639841,4.338966485044566,430.1305170456986,0.025,1.936371983897196,0.8757800000000001,5.56814,False,2026-06-24T18:27:33.461Z,2420.428,229,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
4.30662,0.7895448737096507,5.429698125,1.731033539086973,4.096238475556721,278.23929866573485,0.0,1.4495344279717757,0.86361,4.6779399999999995,False,2026-06-24T18:27:34.098Z,2421.065,293,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
8.1595,1.4556001305259723,5.473845333333333,3.201523208640059,4.596474687173494,703.12415747843,0.059,3.15039877644785,0.5147999999999999,12.30956,True,2026-06-24T18:27:35.949Z,2422.916,479,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
